No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom
7	“	B-LOC	O	-	0	570	721	545	570
8	.	O	O	-	0	570	721	545	570
0		O	O	-	0	247	302	582	605
1	Rom	B-LOC	O	Q220	0	247	302	582	605
2	,	O	O	-	0	247	302	582	605
3	27.	O	O	-	0	319	348	582	601
4	Dezember	O	O	-	0	364	471	582	605
5	.	O	O	-	0	364	471	582	605
0		O	O	-	0	499	612	582	605
1	Botſchafter	O	O	-	0	499	612	582	605
2	von	O	O	-	0	628	676	584	600
3	Haſſell	O	O	-	0	693	799	580	603
4	hat	O	O	-	0	815	847	580	602
5	ſich	O	O	-	0	211	242	607	629
6	in	O	O	-	0	255	276	607	626
7	Begleitung	O	O	-	0	290	405	606	629
8	des	O	O	-	0	418	452	606	626
9	Marineattachés	O	O	-	0	465	631	606	629
10	,	O	O	-	0	465	631	606	629
11	Kapitän	O	O	-	0	651	735	605	627
12	zur	O	O	-	0	756	789	609	627
13	See	O	O	-	0	808	846	604	623
14	Lange	B-PER	O	-	0	210	308	631	654
15	,	O	O	-	0	210	308	631	654
16	am	O	O	-	0	324	354	637	650
17	Montag	O	O	-	0	369	451	631	653
18	zum	O	O	-	0	467	510	636	653
19	Beſuch	O	O	-	0	524	589	630	653
20	des	O	O	-	0	590	637	630	649
21	Befehlshabers	O	O	-	0	653	798	629	652
22	der	O	O	-	0	814	845	629	647
23	deutſchen	O	O	-	0	210	301	656	678
24	Spanienſtreitkräfte	B-LOC	O	-	0	308	514	655	678
25	,	O	O	-	0	308	514	655	678
26	Konteradmirals	O	O	-	0	528	692	653	673
27	Marſchall	O	O	-	0	700	846	652	676
28	,	O	O	-	0	700	846	652	676
29	an	O	O	-	0	211	235	685	699
30	Bord	O	O	-	0	249	300	680	699
31	des	O	O	-	0	315	347	681	699
32	über	O	O	-	0	362	408	679	699
33	Weihnachten	O	O	-	0	421	549	679	701
34	und	O	O	-	0	569	607	679	698
35	Neujahr	O	O	-	0	629	715	678	700
36	in	O	O	-	0	734	755	677	696
37	Neapel	B-LOC	O	Q849383	0	775	845	676	699
38	liegenden	O	O	-	0	210	307	704	726
39	Panzerſchiffes	O	O	-	0	324	467	703	726
40	„	O	O	-	0	486	629	702	725
41	Deutſchland	O	O	-	0	486	629	702	725
42	“	O	O	-	0	486	629	702	725
43	begeben	O	O	-	0	646	731	702	725
44	.	O	O	-	0	646	731	702	725
0		O	O	-	0	760	846	700	720
1	Admiral	O	O	-	0	760	846	700	720
2	Marſchall	B-PER	O	Q61998	0	211	309	728	750
3	gab	O	O	-	0	324	358	728	750
4	an	O	O	-	0	373	397	734	747
5	Bord	O	O	-	0	412	462	727	747
6	ein	O	O	-	0	478	508	727	746
7	Frühſtück	O	O	-	0	523	626	727	750
8	,	O	O	-	0	523	626	727	750
9	an	O	O	-	0	638	663	732	746
10	dem	O	O	-	0	677	719	726	745
11	außer	O	O	-	0	733	792	726	748
12	dem	O	O	-	0	805	845	725	744
13	Botſchafter	O	O	-	0	210	328	753	775
14	,	O	O	-	0	210	328	753	775
15	dem	O	O	-	0	340	380	752	771
16	Generalkonſul	O	O	-	0	392	538	751	774
17	und	O	O	-	0	549	589	751	770
18	dem	O	O	-	0	599	640	751	770
19	Marineattaché	O	O	-	0	651	799	750	772
20	mit	O	O	-	0	811	845	748	769
21	ihren	O	O	-	0	210	264	776	799
22	Frauen	O	O	-	0	276	353	777	799
23	u.	O	O	-	0	364	383	782	795
24	a.	O	O	-	0	395	412	781	795
25	auch	O	O	-	0	424	467	776	798
26	der	O	O	-	0	478	511	776	795
27	Kommandierende	O	O	-	0	522	702	775	795
28	Admiral	O	O	-	0	714	801	774	793
29	des	O	O	-	0	813	845	774	792
30	unteren	O	O	-	0	211	291	801	820
31	Tyrrheniſchen	B-LOC	O	Q38882	0	329	472	800	823
32	Meeres	I-LOC	O	Q38882	0	506	593	800	821
33	,	O	O	-	0	506	593	800	821
34	Geſchwader⸗	O	O	-	0	634	845	798	821
35	Admiral	O	O	-	0	634	845	798	821
36	Valli	B-PER	O	Q2509381	0	211	299	825	847
37	,	O	O	-	0	211	299	825	847
38	mit	O	O	-	0	312	348	825	844
39	Frau	O	O	-	0	361	398	825	847
40	teilnahm	O	O	-	0	400	522	824	847
41	.	O	O	-	0	400	522	824	847
0		O	O	-	0	714	715	873	874
1	Ein	O	O	-	0	212	249	880	900
2	Enkel	O	O	-	0	260	316	880	899
3	Muſſolinis	B-PER	O	Q714884	0	326	438	879	902
4	geboren	O	O	-	0	449	533	879	902
5	.	O	O	-	0	449	533	879	902
0		O	O	-	0	248	302	915	938
1	Rom	B-LOC	O	Q220	0	248	302	915	938
2	,	O	O	-	0	248	302	915	938
3	27.	O	O	-	0	313	342	915	934
4	Dezember	O	O	-	0	354	460	914	937
5	.	O	O	-	0	354	460	914	937
0		O	O	-	0	470	508	914	934
1	Die	O	O	-	0	470	508	914	934
2	Gemahlin	O	O	-	0	519	621	914	936
3	von	O	O	-	0	632	668	916	933
4	Vittorio	B-PER	O	-	0	679	762	912	932
5	Muſſolini	I-PER	O	-	0	775	846	912	934
6	,	O	O	-	0	212	253	939	961
7	dem	O	O	-	0	263	304	940	959
8	älteſten	O	O	-	0	313	398	940	962
9	Sohn	O	O	-	0	398	455	939	961
10	des	O	O	-	0	465	485	939	958
11	italieniſchen	O	O	-	0	487	630	938	960
12	Regierungschefs	O	O	-	0	641	807	937	960
13	,	O	O	-	0	641	807	937	960
14	iſt	O	O	-	0	809	846	936	958
15	am	O	O	-	0	212	243	970	983
16	Montag	O	O	-	0	254	336	964	987
17	von	O	O	-	0	336	383	966	983
18	einem	O	O	-	0	396	455	963	982
19	Knaben	O	O	-	0	467	545	963	982
20	entbunden	O	O	-	0	558	663	962	981
21	worden	O	O	-	0	675	756	961	981
22	.	O	O	-	0	675	756	961	981
23	der	O	O	-	0	768	800	961	980
24	den	O	O	-	0	811	845	961	980
25	Namen	O	O	-	0	212	285	986	1008
26	Guido	B-PER	O	-	0	297	348	988	1007
27	erhalten	O	O	-	0	350	440	988	1010
28	ſoll	O	O	-	0	441	502	987	1010
29	.	O	O	-	0	441	502	987	1010
0		O	O	-	0	211	328	1043	1066
1	Jtalieniſche	O	O	-	0	211	328	1043	1066
2	Studienkommiſſion	O	O	-	0	342	540	1042	1065
3	geht	O	O	-	0	554	595	1043	1065
4	nach	O	O	-	0	608	649	1042	1064
5	Tokio	B-LOC	O	Q1207735	0	663	742	1042	1062
6	.	O	O	-	0	663	742	1042	1062
0		O	O	-	0	246	301	1077	1100
1	Rom	B-LOC	O	Q220	0	246	301	1077	1100
2	,	O	O	-	0	246	301	1077	1100
3	27.	O	O	-	0	317	346	1077	1097
4	Dezember	O	O	-	0	362	468	1077	1099
5	.	O	O	-	0	362	468	1077	1099
0		O	O	-	0	484	522	1076	1096
1	Die	O	O	-	0	484	522	1076	1096
2	Nachricht	O	O	-	0	537	630	1076	1098
3	der	O	O	-	0	646	677	1076	1096
4	bevorſtehenden	O	O	-	0	693	844	1075	1097
5	Entſendung	O	O	-	0	211	318	1101	1123
6	einer	O	O	-	0	322	394	1101	1123
7	italieniſchen	O	O	-	0	395	542	1100	1122
8	Studienkommiſſion	O	O	-	0	542	742	1099	1121
9	nach	O	O	-	0	754	798	1099	1120
10	Japan	B-LOC	O	-	0	809	845	1099	1120
11	findet	O	O	-	0	261	319	1124	1146
12	in	O	O	-	0	332	351	1125	1143
13	der	O	O	-	0	364	386	1124	1143
14	italieniſchen	O	O	-	0	386	529	1123	1146
15	Preſſe	O	O	-	0	542	604	1123	1145
16	lebhafte	O	O	-	0	616	696	1123	1145
17	Zuſtimmung	O	O	-	0	708	844	1123	1144
18	.	O	O	-	0	708	844	1123	1144
0		O	O	-	0	247	285	1148	1167
1	Der	O	O	-	0	247	285	1148	1167
2	Direktor	O	O	-	0	301	387	1147	1166
3	des	O	O	-	0	401	435	1147	1166
4	Giornale	B-ORG	O	-	0	451	542	1146	1166
5	d'Jtalia	I-ORG	O	-	0	557	639	1146	1168
6	erklärt	O	O	-	0	655	727	1146	1168
7	,	O	O	-	0	655	727	1146	1168
8	eine	O	O	-	0	742	783	1146	1165
9	politiſche	O	O	-	0	798	845	1146	1167
10	,	O	O	-	0	211	267	1170	1193
11	wirtſchaftliche	O	O	-	0	287	426	1170	1193
12	und	O	O	-	0	445	482	1171	1189
13	kulturelle	O	O	-	0	503	600	1170	1189
14	Zuſammenarbeit	O	O	-	0	618	797	1169	1192
15	,	O	O	-	0	618	797	1169	1192
16	die	O	O	-	0	817	845	1169	1188
17	durch	O	O	-	0	211	265	1194	1217
18	beiderſeitige	O	O	-	0	276	401	1194	1216
19	Beſuche	O	O	-	0	413	489	1194	1216
20	gefördert	O	O	-	0	502	595	1194	1216
21	und	O	O	-	0	605	644	1194	1212
22	vertieft	O	O	-	0	656	732	1193	1215
23	werde	O	O	-	0	743	808	1193	1214
24	,	O	O	-	0	743	808	1193	1214
25	ſei	O	O	-	0	822	845	1192	1214
26	eine	O	O	-	0	210	252	1217	1237
27	Notwendigkeit	O	O	-	0	270	423	1217	1239
28	,	O	O	-	0	270	423	1217	1239
29	wenn	O	O	-	0	443	496	1221	1236
30	man	O	O	-	0	515	560	1222	1236
31	bedenke	O	O	-	0	579	659	1217	1238
32	,	O	O	-	0	579	659	1217	1238
33	daß	O	O	-	0	678	714	1217	1238
34	die	O	O	-	0	734	762	1216	1235
35	beiden	O	O	-	0	780	845	1216	1235
36	Länder	O	O	-	0	211	283	1241	1260
37	gleichartige	O	O	-	0	297	413	1241	1263
38	Poſitionen	O	O	-	0	428	536	1240	1263
39	und	O	O	-	0	551	588	1241	1259
40	Probleme	O	O	-	0	604	702	1240	1262
41	hätten	O	O	-	0	703	786	1239	1261
42	.	O	O	-	0	703	786	1239	1261
0		O	O	-	0	801	845	1239	1261
1	Jtalien	B-LOC	O	-	0	801	845	1239	1261
2	und	O	O	-	0	264	301	1265	1284
3	Japan	B-LOC	O	Q17	0	316	383	1265	1286
4	ſtänden	O	O	-	0	398	473	1264	1286
5	heute	O	O	-	0	488	540	1264	1286
6	zuſammen	O	O	-	0	556	660	1264	1286
7	mit	O	O	-	0	675	710	1263	1282
8	Deutſchland	B-LOC	O	Q183	0	725	844	1262	1285
9	im	O	O	-	0	196	237	1288	1307
10	Abwehrkampf	O	O	-	0	255	396	1288	1310
11	gegen	O	O	-	0	411	472	1288	1310
12	den	O	O	-	0	485	520	1288	1307
13	Kommunismus	O	O	-	0	537	702	1287	1308
14	,	O	O	-	0	537	702	1287	1308
15	der	O	O	-	0	720	751	1287	1305
16	größten	O	O	-	0	767	845	1287	1308
17	Gefahr	O	O	-	0	202	289	1311	1333
18	,	O	O	-	0	202	289	1311	1333
19	die	O	O	-	0	306	332	1312	1330
20	die	O	O	-	0	348	377	1311	1330
21	Kulturwelt	O	O	-	0	392	506	1311	1330
22	bedrohe	O	O	-	0	521	604	1311	1332
23	.	O	O	-	0	521	604	1311	1332
0		O	O	-	0	619	656	1310	1329
1	Die	O	O	-	0	619	656	1310	1329
2	verantwortungsbewußte	O	O	-	0	672	845	1309	1332
3	Politik	O	O	-	0	307	377	1335	1356
4	Roms	B-LOC	O	Q220	0	388	453	1335	1356
5	,	O	O	-	0	388	453	1335	1356
6	Berlins	B-LOC	O	Q64	0	464	542	1334	1353
7	und	O	O	-	0	554	591	1335	1353
8	Tokios	B-LOC	O	Q1207735	0	602	672	1333	1352
9	beruhe	O	O	-	0	684	750	1334	1355
10	auf	O	O	-	0	762	794	1334	1355
11	dem	O	O	-	0	805	845	1334	1352
12	entſchloſſenen	O	O	-	0	210	348	1358	1380
13	Willen	O	O	-	0	363	431	1358	1377
14	ihrer	O	O	-	0	446	496	1358	1380
15	Regierungen	O	O	-	0	510	642	1358	1379
16	und	O	O	-	0	656	694	1357	1376
17	Völker	O	O	-	0	709	775	1357	1375
18	,	O	O	-	0	709	775	1357	1375
19	ſtütze	O	O	-	0	777	845	1357	1378
20	ſich	O	O	-	0	211	241	1381	1404
21	auf	O	O	-	0	254	287	1382	1404
22	eine	O	O	-	0	299	339	1381	1400
23	ſtarke	O	O	-	0	351	405	1381	1404
24	Wehrmacht	O	O	-	0	418	530	1381	1403
25	und	O	O	-	0	542	568	1387	1400
26	verfolge	O	O	-	0	570	673	1381	1402
27	ein	O	O	-	0	674	715	1380	1400
28	klares	O	O	-	0	718	786	1380	1402
29	Ziel	O	O	-	0	799	845	1380	1402
30	,	O	O	-	0	799	845	1380	1402
31	durch	O	O	-	0	211	265	1405	1427
32	das	O	O	-	0	278	312	1405	1424
33	niemand	O	O	-	0	327	413	1405	1424
34	bedroht	O	O	-	0	427	503	1405	1426
35	werde	O	O	-	0	517	581	1405	1424
36	.	O	O	-	0	517	581	1405	1424
0		O	O	-	0	247	342	1428	1450
1	Trotzdem	O	O	-	0	247	342	1428	1450
2	könne	O	O	-	0	355	411	1428	1447
3	man	O	O	-	0	424	453	1434	1447
4	noch	O	O	-	0	455	522	1428	1450
5	kein	O	O	-	0	522	573	1428	1447
6	Nachlaſſen	O	O	-	0	586	691	1425	1449
7	der	O	O	-	0	705	736	1427	1446
8	gegen	O	O	-	0	748	805	1432	1449
9	die	O	O	-	0	818	846	1427	1445
10	drei	O	O	-	0	196	250	1451	1471
11	Mächte	O	O	-	0	267	339	1452	1474
12	gerichteten	O	O	-	0	357	462	1451	1474
13	feindlichen	O	O	-	0	480	603	1451	1473
14	Stimmung	O	O	-	0	603	705	1451	1470
15	beobachten	O	O	-	0	707	846	1451	1472
16	.	O	O	-	0	707	846	1451	1472
0		O	O	-	0	211	241	1474	1494
1	So	O	O	-	0	211	241	1474	1494
2	wende	O	O	-	0	255	307	1475	1494
3	ſich	O	O	-	0	308	361	1475	1497
4	beiſpielsweiſe	O	O	-	0	375	514	1474	1497
5	gerade	O	O	-	0	528	593	1474	1497
6	jetzt	O	O	-	0	606	644	1474	1496
7	wieder	O	O	-	0	657	725	1474	1493
8	die	O	O	-	0	737	767	1474	1492
9	amerikaniſche	O	O	-	0	780	846	1474	1493
10	Preſſe	O	O	-	0	304	367	1499	1520
11	gegen	O	O	-	0	383	439	1503	1520
12	die	O	O	-	0	455	487	1498	1517
13	japaniſchen	O	O	-	0	499	612	1498	1520
14	Rüſtungen	O	O	-	0	627	738	1498	1519
15	zur	O	O	-	0	754	786	1502	1519
16	See	O	O	-	0	801	846	1497	1518
17	,	O	O	-	0	801	846	1497	1518
18	obwohl	O	O	-	0	211	284	1521	1544
19	dieſe	O	O	-	0	301	347	1521	1544
20	nicht	O	O	-	0	362	408	1521	1544
21	im	O	O	-	0	424	450	1521	1540
22	entfernteſten	O	O	-	0	467	595	1521	1543
23	an	O	O	-	0	612	636	1526	1540
24	die	O	O	-	0	652	680	1521	1540
25	amerikaniſchen	O	O	-	0	690	846	1520	1542
26	Bauprogramme	O	O	-	0	211	375	1545	1567
27	heranreichten	O	O	-	0	375	545	1545	1567
28	.	O	O	-	0	375	545	1545	1567
0		O	O	-	0	551	587	1545	1564
1	Die	O	O	-	0	551	587	1545	1564
2	Gleichberechtigung	O	O	-	0	605	800	1544	1566
3	,	O	O	-	0	605	800	1544	1566
4	die	O	O	-	0	818	846	1544	1563
5	angeblich	O	O	-	0	211	305	1568	1590
6	einer	O	O	-	0	321	371	1568	1587
7	der	O	O	-	0	387	418	1568	1587
8	Grundſätze	O	O	-	0	435	545	1568	1590
9	der	O	O	-	0	561	592	1568	1587
10	Demokratie	O	O	-	0	606	725	1567	1587
11	ſei	O	O	-	0	742	771	1567	1589
12	,	O	O	-	0	742	771	1567	1589
13	werde	O	O	-	0	788	846	1567	1586
14	ebenſo	O	O	-	0	211	274	1591	1614
15	auf	O	O	-	0	292	326	1592	1614
16	dem	O	O	-	0	345	384	1592	1611
17	Gebiet	O	O	-	0	403	470	1591	1610
18	der	O	O	-	0	487	518	1592	1612
19	Rüſtungen	O	O	-	0	536	645	1591	1613
20	wie	O	O	-	0	662	698	1591	1610
21	auf	O	O	-	0	714	748	1592	1612
22	anderen	O	O	-	0	765	846	1591	1610
23	lebenswichtigen	O	O	-	0	195	371	1614	1637
24	Gebieten	O	O	-	0	385	474	1615	1634
25	von	O	O	-	0	489	524	1618	1634
26	den	O	O	-	0	537	572	1615	1634
27	drei	O	O	-	0	586	625	1615	1633
28	großen	O	O	-	0	639	708	1615	1637
29	imperialiſtiſchen	O	O	-	0	712	846	1614	1636
30	und	O	O	-	0	271	310	1640	1658
31	kriegeriſchen	O	O	-	0	323	461	1638	1660
32	Demokratien	O	O	-	0	462	593	1638	1657
33	hartnäckig	O	O	-	0	607	709	1638	1660
34	beſtritten	O	O	-	0	722	822	1638	1659
35	.	O	O	-	0	722	822	1638	1659
0		O	O	-	0	231	312	1662	1684
1	Gegen	O	O	-	0	231	312	1662	1684
2	das	O	O	-	0	329	362	1662	1681
3	Fortbeſtehen	O	O	-	0	380	508	1662	1684
4	der	O	O	-	0	536	567	1662	1680
5	großen	O	O	-	0	585	654	1662	1683
6	Selbſtſucht	O	O	-	0	669	781	1661	1683
7	und	O	O	-	0	809	846	1661	1680
8	der	O	O	-	0	212	242	1686	1704
9	Privilegien	O	O	-	0	255	364	1685	1706
10	ſei	O	O	-	0	365	408	1685	1706
11	jedoch	O	O	-	0	420	479	1685	1706
12	eine	O	O	-	0	489	531	1688	1704
13	entſchiedene	O	O	-	0	542	661	1684	1706
14	Abwehr	O	O	-	0	673	752	1685	1706
15	geboten	O	O	-	0	764	846	1685	1706
16	.	O	O	-	0	764	846	1685	1706
0		O	O		0	212	259	1741	1760
1	Eine	O	O	-	0	212	259	1741	1760
2	Wehrformation	O	O	-	0	273	433	1740	1762
3	der	O	O	-	0	448	467	1740	1759
4	öſterreichiſchen	O	O	-	0	469	640	1739	1762
5	Legitimiſten	O	O	-	0	654	786	1739	1762
6	.	O	O	-	0	654	786	1739	1762
0		O	O	-	0	248	308	1775	1796
1	Wien	B-LOC	O	Q1741	0	248	308	1775	1796
2	,	O	O	-	0	248	308	1775	1796
3	27.	O	O	-	0	322	350	1774	1793
4	Dezember	O	O	-	0	364	470	1774	1796
5	.	O	O	-	0	364	470	1774	1796
0		O	O	-	0	496	522	1775	1794
1	Die	O	O	-	0	496	522	1775	1794
2	Legitimiſten	O	O	-	0	524	672	1774	1796
3	haben	O	O	-	0	685	730	1774	1796
4	in	O	O	-	0	731	763	1773	1793
5	letzter	O	O	-	0	765	848	1774	1796
6	Zeit	O	O	-	0	212	255	1799	1823
7	nicht	O	O	-	0	269	316	1799	1820
8	nur	O	O	-	0	330	367	1804	1817
9	ihre	O	O	-	0	382	422	1798	1820
10	Agitation	O	O	-	0	437	535	1798	1820
11	zuſehends	O	O	-	0	550	649	1798	1820
12	verſtärkt	O	O	-	0	664	755	1798	1819
13	,	O	O	-	0	664	755	1798	1819
14	ſondern	O	O	-	0	771	848	1798	1819
15	ſind	O	O	-	0	212	250	1823	1843
16	auch	O	O	-	0	271	314	1822	1844
17	bemüht	O	O	-	0	333	415	1821	1843
18	,	O	O	-	0	333	415	1821	1843
19	ihre	O	O	-	0	436	475	1822	1843
20	Organiſation	O	O	-	0	495	631	1821	1843
21	auszubauen	O	O	-	0	651	779	1821	1843
22	.	O	O	-	0	651	779	1821	1843
0		O	O	-	0	807	847	1821	1840
1	Das	O	O	-	0	807	847	1821	1840
2	Neueſte	O	O	-	0	212	290	1846	1867
3	iſt	O	O	-	0	304	326	1846	1867
4	die	O	O	-	0	341	370	1846	1864
5	Gründung	O	O	-	0	385	493	1846	1866
6	einer	O	O	-	0	508	558	1846	1864
7	„	O	O	-	0	574	716	1845	1866
8	Eiſernen	O	O	-	0	574	716	1845	1866
9	Legion	O	O	-	0	731	848	1844	1866
10	“	O	O	-	0	731	848	1844	1866
11	,	O	O	-	0	731	848	1844	1866
12	die	O	O	-	0	214	242	1870	1889
13	ſich	O	O	-	0	254	285	1870	1891
14	hauptſächlich	O	O	-	0	295	425	1869	1891
15	aus	O	O	-	0	434	470	1871	1888
16	jungen	O	O	-	0	482	552	1869	1891
17	Leuten	O	O	-	0	564	633	1869	1888
18	zuſammenſetzen	O	O	-	0	645	803	1869	1890
19	und	O	O	-	0	810	847	1868	1888
20	dazu	O	O	-	0	202	260	1894	1915
21	beſtimmt	O	O	-	0	276	359	1893	1915
22	ſein	O	O	-	0	361	421	1893	1915
23	ſoll	O	O	-	0	437	475	1893	1914
24	,	O	O	-	0	437	475	1893	1914
25	den	O	O	-	0	491	525	1894	1912
26	Ordnungs⸗	O	O	-	0	542	656	1893	1913
27	und	O	O	-	0	673	711	1893	1911
28	Schutzdienſt	O	O	-	0	728	849	1892	1913
29	bei	O	O	-	0	213	242	1918	1936
30	Verſammlungen	O	O	-	0	258	427	1918	1939
31	durchzuführen	O	O	-	0	441	592	1916	1938
32	.	O	O	-	0	441	592	1916	1938
0		O	O	-	0	621	661	1916	1935
1	Mit	O	O	-	0	621	661	1916	1935
2	einbezogen	O	O	-	0	661	787	1916	1938
3	werden	O	O	-	0	803	848	1918	1935
4	legitimiſtiſche	O	O	-	0	262	400	1941	1962
5	ehemalige	O	O	-	0	413	513	1941	1962
6	Soldaten	O	O	-	0	525	625	1941	1959
7	.	O	O	-	0	525	625	1941	1959
0		O	O	-	0	250	368	1964	1985
1	Bekanntlich	O	O	-	0	250	368	1964	1985
2	ſind	O	O	-	0	384	421	1965	1985
3	die	O	O	-	0	439	467	1964	1983
4	früheren	O	O	-	0	484	571	1964	1985
5	freiwilligen	O	O	-	0	588	716	1958	1985
6	Wehrformationen	O	O	-	0	724	849	1963	1984
7	im	O	O	-	0	297	323	1988	2007
8	September	O	O	-	0	341	452	1988	2009
9	1936	O	O	-	0	471	517	1988	2006
10	aufgelöſt	O	O	-	0	535	625	1988	2009
11	worden	O	O	-	0	643	723	1988	2008
12	,	O	O	-	0	643	723	1988	2008
13	wobei	O	O	-	0	742	800	1986	2006
14	der	O	O	-	0	818	849	1987	2005
15	Vaterländiſchen	B-ORG	O	Q880299	0	215	374	2012	2033
16	Front	I-ORG	O	Q880299	0	385	444	2012	2033
17	das	O	O	-	0	454	488	2012	2030
18	alleinige	O	O	-	0	499	586	2011	2032
19	Recht	O	O	-	0	595	648	2011	2032
20	übertragen	O	O	-	0	658	770	2011	2031
21	wurde	O	O	-	0	781	849	2010	2031
22	,	O	O	-	0	781	849	2010	2031
23	im	O	O	-	0	215	241	2036	2055
24	Einvernehmen	O	O	-	0	255	403	2036	2056
25	mit	O	O	-	0	416	450	2035	2054
26	dem	O	O	-	0	463	503	2036	2054
27	Bundesheer	O	O	-	0	516	637	2035	2056
28	bewaffnete	O	O	-	0	646	759	2035	2055
29	Formationen	O	O	-	0	772	849	2034	2055
30	aufzuſtellen	O	O	-	0	293	411	2060	2081
31	und	O	O	-	0	424	462	2059	2078
32	zu	O	O	-	0	476	498	2065	2081
33	unterhalten	O	O	-	0	508	635	2059	2080
34	.	O	O	-	0	508	635	2059	2080
0		O	O	-	0	672	674	2075	2078
1	5	O	O	-	0	214	225	2115	2133
2	Memelländer	O	O	-	0	235	372	2114	2134
3	vom	O	O	-	0	372	403	2118	2133
4	litauiſchen	O	O	-	0	406	537	2113	2136
5	Staatspräſidenten	O	O	-	0	545	734	2113	2138
6	begnadigt	O	O	-	0	744	849	2112	2134
7	.	O	O	-	0	744	849	2112	2134
0		O	O	-	0	251	329	2147	2170
1	Kowno	I-LOC	O	Q4115712	0	251	329	2147	2170
2	,	O	O	-	0	251	329	2147	2170
3	27.	O	O	-	0	347	376	2148	2167
4	Dezember	O	O	-	0	395	500	2147	2170
5	.	O	O	-	0	395	500	2147	2170
0		O	O	-	0	519	547	2148	2166
1	Der	O	O	-	0	519	547	2148	2166
2	litauiſche	O	O	-	0	548	668	2146	2169
3	Staatspräſident	O	O	-	0	686	850	2146	2168
4	hat	O	O	-	0	211	247	2171	2197
5	aus	O	O	-	0	259	296	2174	2191
6	Anlaß	O	O	-	0	311	372	2171	2193
7	des	O	O	-	0	387	418	2172	2191
8	Weihnachtsfeſtes	O	O	-	0	433	604	2171	2193
9	die	O	O	-	0	617	645	2171	2189
10	vom	O	O	-	0	658	705	2173	2189
11	Kriegsgericht	O	O	-	0	714	849	2169	2191
12	im	O	O	-	0	216	242	2200	2214
13	Neumann⸗Saß⸗Prozeß	B-PER	O	-	0	257	491	2194	2216
14	zu	O	O	-	0	507	528	2200	2216
15	zehn	O	O	-	0	538	587	2194	2216
16	Jahren	O	O	-	0	602	676	2194	2216
17	Zuchthaus	O	O	-	0	691	795	2193	2215
18	verurteilten	O	O	-	0	811	850	2196	2212
19	Gefangenen	O	O	-	0	319	463	2218	2244
