No.	TOKEN	NE-TAG	NE-EMB	GND-ID	url_id	left	right	top	bottom
16	hängen	O	O	-	0	1054	1224	1423	1486
17	laſſen	O	O	-	0	1255	1393	1427	1481
18	,	O	O	-	0	1255	1393	1427	1481
19	und	O	O	-	0	1430	1481	1443	1473
20	ſtatt	O	O	-	0	1485	1633	1432	1483
21	einer	O	O	-	0	1669	1766	1433	1478
22	Mahnung	O	O	-	0	307	514	1466	1521
23	zu	O	O	-	0	559	604	1480	1523
24	noch	O	O	-	0	646	733	1471	1526
25	ernſterem	O	O	-	0	780	986	1475	1526
26	,	O	O	-	0	780	986	1475	1526
27	eurigeren	O	O	-	0	1031	1223	1487	1532
28	Wirken	O	O	-	0	1267	1416	1481	1526
29	aus	O	O	-	0	1461	1537	1491	1529
30	derſelben	O	O	-	0	1581	1765	1487	1540
31	irgend	O	O	-	0	306	436	1523	1576
32	welche	O	O	-	0	466	596	1523	1577
33	Entmuthigung	O	O	-	0	626	935	1526	1585
34	entnehmen	O	O	-	0	967	1186	1534	1586
35	wollten	O	O	-	0	1216	1382	1537	1581
36	.	O	O	-	0	1216	1382	1537	1581
0		O	O	-	0	416	550	1576	1621
1	Grade	O	O	-	0	416	550	1576	1621
2	jetzt	O	O	-	0	564	657	1580	1636
3	iſt	O	O	-	0	685	727	1582	1636
4	uns	O	O	-	0	758	835	1591	1628
5	von	O	O	-	0	865	941	1597	1629
6	unſerem	O	O	-	0	970	1133	1589	1638
7	Kaiſer	O	O	-	0	1164	1292	1589	1647
8	und	O	O	-	0	1321	1398	1595	1638
9	König	O	O	-	0	1429	1556	1596	1651
10	und	O	O	-	0	1585	1661	1601	1643
11	von	O	O	-	0	1689	1763	1609	1645
12	ſeinem	O	O	-	0	303	438	1631	1681
13	Kanzler	O	O	-	0	475	637	1634	1689
14	das	O	O	-	0	672	747	1638	1680
15	Beiſpiel	O	O	-	0	785	951	1640	1694
16	des	O	O	-	0	987	1054	1645	1688
17	treuen	O	O	-	0	1090	1239	1651	1695
18	,	O	O	-	0	1090	1239	1651	1695
19	muthigen	O	O	-	0	1278	1473	1650	1706
20	Ausharrens	O	O	-	0	1511	1762	1653	1707
21	und	O	O	-	0	301	379	1688	1730
22	des	O	O	-	0	416	484	1689	1732
23	Feſthaltens	O	O	-	0	520	759	1690	1745
24	an	O	O	-	0	796	847	1710	1739
25	den	O	O	-	0	885	954	1697	1740
26	für	O	O	-	0	995	1054	1699	1751
27	richtig	O	O	-	0	1096	1225	1701	1757
28	erkannten	O	O	-	0	1270	1468	1706	1751
29	Grundſätzen	O	O	-	0	1509	1763	1710	1766
30	gegeben	O	O	-	0	304	466	1744	1797
31	worden	O	O	-	0	496	663	1746	1797
32	,	O	O	-	0	496	663	1746	1797
33	daran	O	O	-	0	695	818	1750	1795
34	ſollen	O	O	-	0	848	959	1752	1803
35	wir	O	O	-	0	991	1061	1756	1798
36	uns	O	O	-	0	1091	1166	1763	1800
37	aufrichten	O	O	-	0	1197	1412	1759	1814
38	.	O	O	-	0	1197	1412	1759	1814
0		O	O	-	0	1473	1549	1764	1808
1	Als	O	O	-	0	1473	1549	1764	1808
2	nach	O	O	-	0	1577	1666	1768	1820
3	den	O	O	-	0	1693	1761	1769	1812
4	Wahlen	O	O	-	0	301	490	1796	1850
5	,	O	O	-	0	301	490	1796	1850
6	inmitten	O	O	-	0	519	693	1801	1854
7	des	O	O	-	0	725	792	1804	1848
8	betäubenden	O	O	-	0	825	1082	1806	1854
9	Jubels	O	O	-	0	1111	1256	1811	1864
10	der	O	O	-	0	1291	1355	1816	1858
11	Fortſchrittspartei	B-ORG	O	-	0	1385	1761	1818	1874
12	,	O	O	-	0	1385	1761	1818	1874
13	die	O	O	-	0	300	361	1851	1896
14	Freunde	O	O	-	0	389	559	1855	1909
15	der	O	O	-	0	589	653	1858	1901
16	Regierung	O	O	-	0	682	875	1859	1915
17	irre	O	O	-	0	880	1003	1863	1917
18	zu	O	O	-	0	1038	1081	1879	1923
19	werden	O	O	-	0	1117	1266	1871	1913
20	und	O	O	-	0	1302	1378	1872	1915
21	an	O	O	-	0	1416	1465	1888	1917
22	der	O	O	-	0	1506	1570	1875	1919
23	Zukunft	O	O	-	0	1597	1762	1878	1931
24	zu	O	O	-	0	302	345	1921	1964
25	zweifeln	O	O	-	0	375	541	1910	1962
26	begannen	O	O	-	0	571	782	1911	1967
27	,	O	O	-	0	571	782	1911	1967
28	da	O	O	-	0	811	860	1919	1960
29	erſcholl	O	O	-	0	891	1035	1920	1973
30	neu	O	O	-	0	1062	1134	1935	1966
31	belebend	O	O	-	0	1165	1338	1923	1970
32	vom	O	O	-	0	1360	1449	1937	1972
33	Throne	O	O	-	0	1469	1605	1931	1982
34	herab	O	O	-	0	1610	1759	1935	1987
35	erſt	O	O	-	0	301	367	1964	2015
36	das	O	O	-	0	403	477	1966	2008
37	Wort	O	O	-	0	514	629	1966	2011
38	jener	O	O	-	0	666	767	1970	2022
39	denkwürdigen	O	O	-	0	810	1096	1973	2032
40	Botſchaft	O	O	-	0	1132	1396	1980	2034
41	,	O	O	-	0	1132	1396	1980	2034
42	wodurch	O	O	-	0	1441	1611	1988	2042
43	unſer	O	O	-	0	1656	1760	1992	2042
44	allverehrter	O	O	-	0	299	538	2020	2074
45	Kaiſer	O	O	-	0	572	702	2022	2076
46	ſich	O	O	-	0	738	802	2027	2081
47	perſönlich	O	O	-	0	840	1040	2030	2086
48	zu	O	O	-	0	1075	1119	2046	2089
49	den	O	O	-	0	1156	1226	2036	2080
50	bisherigen	O	O	-	0	1270	1488	2037	2097
51	Zielen	O	O	-	0	1523	1655	2042	2097
52	der	O	O	-	0	1698	1760	2048	2090
53	Regierung	O	O	-	0	300	518	2074	2130
54	bekannte	O	O	-	0	550	728	2077	2125
55	und	O	O	-	0	758	834	2085	2127
56	„	O	O	-	0	868	963	2093	2136
57	vor	O	O	-	0	868	963	2093	2136
58	Gott	O	O	-	0	991	1092	2088	2133
59	und	O	O	-	0	1121	1196	2090	2135
60	den	O	O	-	0	1227	1299	2092	2136
61	Menſchen	O	O	-	0	1320	1544	2093	2151
62	“	O	O	-	0	1320	1544	2093	2151
63	bezeugte	O	O	-	0	1575	1758	2100	2154
64	,	O	O	-	0	1575	1758	2100	2154
65	daß	O	O	-	0	294	374	2131	2184
66	er	O	O	-	0	404	441	2144	2174
67	ſeine	O	O	-	0	471	563	2132	2184
68	von	O	O	-	0	593	668	2143	2179
69	dem	O	O	-	0	699	782	2138	2180
70	Herrn	O	O	-	0	816	940	2141	2193
71	ſo	B-PER	O	-	0	978	992	2145	2195
72	reich	O	O	-	0	994	1140	2145	2198
73	geſegnete	O	O	-	0	1180	1368	2148	2203
74	Regierung	O	O	-	0	1405	1625	2152	2210
75	nicht	O	O	-	0	1663	1758	2158	2210
76	beſchließen	O	O	-	0	296	514	2185	2241
77	wolle	O	O	-	0	545	667	2191	2242
78	,	O	O	-	0	545	667	2191	2242
79	ohne	O	O	-	0	708	817	2193	2247
80	,	O	O	-	0	708	817	2193	2247
81	ſo	O	O	-	0	854	890	2198	2247
82	viel	O	O	-	0	920	996	2196	2243
83	an	O	O	-	0	1026	1076	2213	2244
84	ihm	O	O	-	0	1107	1185	2200	2255
85	liegt	O	O	-	0	1215	1320	2203	2258
86	,	O	O	-	0	1215	1320	2203	2258
87	durch	O	O	-	0	1349	1457	2207	2262
88	die	O	O	-	0	1489	1549	2209	2253
89	beabſich—tigten	O	O	-	0	1577	1755	2211	2264
90	Reformen	O	O	-	0	461	665	2243	2291
91	das	O	O	-	0	707	781	2249	2292
92	deutſche	O	O	-	0	825	987	2252	2305
93	Reich	O	O	-	0	1032	1140	2255	2308
94	befeſtigt	O	O	-	0	1176	1357	2259	2315
95	und	O	O	-	0	1408	1485	2265	2307
96	zumal	O	O	-	0	1529	1655	2269	2321
97	die	O	O	-	0	1696	1756	2269	2313
98	ärmſten	O	O	-	0	293	453	2296	2348
99	ſeiner	O	O	-	0	483	597	2300	2347
100	Unterthanen	O	O	-	0	618	878	2303	2358
101	gegen	O	O	-	0	908	1026	2321	2364
102	die	O	O	-	0	1055	1114	2312	2356
103	Unbilden	O	O	-	0	1132	1324	2314	2360
104	des	O	O	-	0	1353	1421	2318	2362
105	Geſchicks	O	O	-	0	1444	1625	2320	2380
106	ſicher	O	O	-	0	1653	1756	2324	2379
107	geſtellt	O	O	-	0	293	431	2352	2406
108	zu	O	O	-	0	460	505	2368	2408
109	haben	O	O	-	0	536	667	2355	2408
110	.	O	O	-	0	536	667	2355	2408
0		O	O	-	0	403	480	2408	2453
1	Als	O	O	-	0	403	480	2408	2453
2	aber	O	O	-	0	518	585	2411	2455
3	dieſer	O	O	-	0	587	756	2414	2463
4	feierlichen	O	O	-	0	784	988	2418	2474
5	Kundgebung	O	O	-	0	1027	1290	2422	2482
6	des	O	O	-	0	1329	1396	2429	2473
7	Kaiſers	O	O	-	0	1425	1580	2431	2483
8	gegen—über	O	O	-	0	1620	1752	2449	2489
9	die	O	O	-	0	413	471	2463	2508
10	Fortſchrittspartei	O	O	-	0	501	871	2466	2526
11	in	O	O	-	0	906	947	2476	2519
12	übermäßigem	O	O	-	0	976	1258	2477	2535
13	Trotz	O	O	-	0	1288	1396	2484	2541
14	das	O	O	-	0	1437	1511	2488	2531
15	Recht	O	O	-	0	1542	1655	2488	2543
16	des	O	O	-	0	1683	1750	2492	2535
0		O	O	-	0	293	400	2574	2627
1	durch	O	O	-	0	293	400	2574	2627
2	den	O	O	-	0	440	509	2577	2620
3	Königlichen	O	O	-	0	546	789	2579	2635
4	Erlaß	O	O	-	0	822	940	2585	2640
5	vom	O	O	-	0	984	1072	2598	2633
6	4.	O	O	-	0	1101	1140	2593	2635
7	Januar	O	O	-	0	1180	1342	2594	2647
8	und	O	O	-	0	1379	1455	2600	2642
9	dann	O	O	-	0	1500	1577	2603	2643
10	durch	O	O	-	0	1580	1748	2604	2655
0		O	O	-	0	293	530	2517	2574
1	Monarchen	O	O	-	0	293	530	2517	2574
2	zu	O	O	-	0	559	605	2536	2577
3	perſönlichem	O	O	-	0	634	894	2527	2582
4	Hervortreten	O	O	-	0	922	1190	2532	2585
5	in	O	O	-	0	1219	1260	2537	2581
6	Frage	O	O	-	0	1286	1410	2539	2595
7	ſtellte	O	O	-	0	1442	1567	2543	2594
8	,	O	O	-	0	1442	1567	2543	2594
9	wurden	O	O	-	0	1599	1752	2548	2591
0		O	O	-	0	287	349	2628	2672
1	die	O	O	-	0	287	349	2628	2672
2	herrliche	O	O	-	0	379	551	2631	2687
3	Königsrede	O	O	-	0	569	807	2634	2691
4	des	O	O	-	0	838	904	2644	2684
5	Fürſten	O	O	-	0	926	1081	2643	2697
6	Bismarck	B-PER	O	-	0	1103	1198	2647	2691
7	die	O	O	-	0	1372	1430	2653	2697
8	altpreußiſchen	O	O	-	0	1459	1749	2655	2711
9	Grundſätze	O	O	-	0	291	520	2685	2744
10	über	O	O	-	0	557	649	2691	2736
11	die	O	O	-	0	682	742	2693	2736
12	Stellung	O	O	-	0	771	958	2696	2753
13	der	O	O	-	0	996	1059	2702	2745
14	Krone	O	O	-	0	1095	1219	2702	2747
15	im	O	O	-	0	1264	1316	2706	2750
16	Leben	O	O	-	0	1344	1465	2709	2753
17	des	O	O	-	0	1510	1577	2711	2754
18	Volkes	O	O	-	0	1608	1747	2713	2757
19	ſo	O	O	-	0	288	327	2740	2789
20	wirkſam	O	O	-	0	357	526	2741	2790
21	zur	O	O	-	0	556	622	2758	2800
22	Geltung	O	O	-	0	652	825	2748	2807
23	gebracht	O	O	-	0	864	1049	2754	2810
24	,	O	O	-	0	864	1049	2754	2810
25	daß	O	O	-	0	1085	1160	2759	2813
26	ſich	O	O	-	0	1199	1263	2761	2814
27	im	O	O	-	0	1294	1345	2762	2806
28	erſten	O	O	-	0	1385	1496	2767	2820
29	Augenblick	O	O	-	0	1527	1749	2766	2823
30	kein	O	O	-	0	285	365	2795	2840
31	Widerſpruch	O	O	-	0	409	668	2797	2858
32	von	O	O	-	0	713	789	2813	2850
33	irgend	O	O	-	0	831	960	2808	2865
34	einer	O	O	-	0	1008	1106	2813	2857
35	Seite	O	O	-	0	1141	1253	2815	2859
36	her	O	O	-	0	1297	1360	2820	2873
37	dagegen	O	O	-	0	1396	1578	2821	2877
38	zu	O	O	-	0	1610	1653	2838	2879
39	er⸗heben	O	O	-	0	1691	1783	2839	2869
40	wagte	O	O	-	0	437	573	2860	2909
41	.	O	O	-	0	437	573	2860	2909
0		O	O	-	0	396	508	2909	2963
1	Dieſe	O	O	-	0	396	508	2909	2963
2	gewaltigen	O	O	-	0	533	766	2915	2970
3	Thatſachen	O	O	-	0	795	1029	2920	2977
4	ſind	O	O	-	0	1058	1136	2923	2975
5	ein	O	O	-	0	1169	1226	2928	2970
6	Merkſtein	O	O	-	0	1256	1454	2927	2981
7	und	O	O	-	0	1485	1559	2936	2978
8	Wendepunkt	O	O	-	0	1582	1740	2935	2981
9	unſerer	O	O	-	0	429	577	2967	3019
10	öffentlichen	O	O	-	0	606	838	2971	3027
11	Entwickelung	O	O	-	0	870	1142	2976	3036
12	geworden	O	O	-	0	1175	1389	2986	3037
13	.	O	O	-	0	1175	1389	2986	3037
0		O	O	-	0	398	491	3019	3064
1	Nun	O	O	-	0	398	491	3019	3064
2	denn	O	O	-	0	521	633	3024	3075
3	,	O	O	-	0	521	633	3024	3075
4	laßt	O	O	-	0	671	755	3027	3080
5	auch	O	O	-	0	785	874	3032	3086
6	uns	O	O	-	0	902	981	3040	3077
7	zeigen	O	O	-	0	1012	1152	3035	3091
8	,	O	O	-	0	1012	1152	3035	3091
9	daß	O	O	-	0	1187	1263	3040	3092
10	die	O	O	-	0	1292	1351	3041	3085
11	Erfahrungen	O	O	-	0	1383	1650	3043	3102
12	der	O	O	-	0	1679	1742	3048	3092
13	letzten	O	O	-	0	287	412	3072	3126
14	Wahlen	O	O	-	0	450	617	3077	3132
15	uns	O	O	-	0	661	738	3089	3126
16	keinesweges	O	O	-	0	775	1028	3085	3143
17	entmuthigt	O	O	-	0	1072	1315	3095	3150
18	,	O	O	-	0	1072	1315	3095	3150
19	vielmehr	O	O	-	0	1359	1540	3098	3155
20	nur	O	O	-	0	1581	1656	3117	3147
21	zu	O	O	-	0	1698	1780	3118	3160
22	kräftigerem	O	O	-	0	284	519	3126	3184
23	Handeln	O	O	-	0	560	739	3136	3190
24	im	O	O	-	0	781	835	3142	3185
25	Sinne	O	O	-	0	878	1008	3143	3190
26	des	O	O	-	0	1052	1119	3148	3191
27	Königs	O	O	-	0	1162	1314	3149	3206
28	veranlaßt	O	O	-	0	1358	1562	3157	3211
29	haben	O	O	-	0	1606	1740	3159	3211
30	.	O	O	-	0	1606	1740	3159	3211
0		O	O	-	0	288	377	3181	3227
1	Wir	O	O	-	0	288	377	3181	3227
2	haben	O	O	-	0	407	526	3186	3240
3	auch	O	O	-	0	555	645	3193	3247
4	keinen	O	O	-	0	689	815	3194	3241
5	Grund	O	O	-	0	844	984	3199	3245
6	zum	O	O	-	0	1015	1097	3216	3258
7	Kleinmuth	O	O	-	0	1125	1361	3205	3262
8	,	O	O	-	0	1125	1361	3205	3262
9	denn	O	O	-	0	1404	1487	3211	3256
10	es	O	O	-	0	1489	1556	3225	3255
11	iſt	O	O	-	0	1560	1654	3215	3268
12	bei	O	O	-	0	1682	1738	3215	3259
13	uns	O	O	-	0	286	379	3245	3289
14	,	O	O	-	0	286	379	3245	3289
15	ſowohl	O	O	-	0	417	559	3242	3298
16	von	O	O	-	0	596	672	3255	3292
17	Alters	O	O	-	0	703	837	3249	3296
18	her	O	O	-	0	876	951	3254	3308
19	,	O	O	-	0	876	951	3254	3308
20	wie	O	O	-	0	995	1067	3259	3302
21	aus	O	O	-	0	1107	1181	3266	3305
22	der	O	O	-	0	1220	1284	3263	3307
23	neueſten	O	O	-	0	1313	1483	3268	3321
24	glorreichen	O	O	-	0	1514	1737	3268	3323
25	Zeit	O	O	-	0	280	372	3293	3346
26	ſoviel	O	O	-	0	406	522	3298	3349
27	wirkliches	O	O	-	0	560	763	3302	3359
28	Vertrauen	O	O	-	0	801	1017	3308	3358
29	zum	O	O	-	0	1060	1142	3327	3371
30	König	O	O	-	0	1171	1297	3318	3374
31	und	O	O	-	0	1329	1381	3334	3366
32	ſeiner	O	O	-	0	1384	1566	3322	3375
33	Regierung	O	O	-	0	1602	1736	3326	3380
34	vorhanden	O	O	-	0	413	646	3354	3410
35	,	O	O	-	0	413	646	3354	3410
36	daß	O	O	-	0	674	750	3362	3416
37	das	O	O	-	0	780	855	3364	3408
38	Volk	O	O	-	0	876	975	3365	3411
39	derſelben	O	O	-	0	994	1177	3369	3421
40	nicht	O	O	-	0	1208	1305	3374	3429
41	dauernd	O	O	-	0	1325	1492	3376	3423
42	entfremdet	O	O	-	0	1520	1736	3383	3432
43	werden	O	O	-	0	282	430	3406	3451
44	kann	O	O	-	0	460	574	3410	3454
45	:	O	O	-	0	460	574	3410	3454
46	immer	O	O	-	0	606	735	3412	3460
47	und	O	O	-	0	765	840	3421	3464
48	immer	O	O	-	0	872	1004	3420	3468
49	wieder	O	O	-	0	1032	1169	3425	3471
50	erkennt	O	O	-	0	1198	1343	3430	3476
51	daſſelbe	O	O	-	0	1371	1545	3434	3488
52	,	O	O	-	0	1371	1545	3434	3488
53	daß	O	O	-	0	1574	1649	3439	3491
54	die	O	O	-	0	1679	1736	3439	3483
55	treuſte	O	O	-	0	283	416	3459	3510
56	und	O	O	-	0	450	526	3466	3509
57	ſtete	O	O	-	0	563	647	3468	3519
58	Sorge	O	O	-	0	681	817	3473	3530
59	für	O	O	-	0	852	913	3477	3526
60	das	O	O	-	0	949	1024	3479	3524
61	gemeinſame	O	O	-	0	1062	1306	3482	3538
62	Wohl	O	O	-	0	1335	1454	3487	3544
63	allein	O	O	-	0	1497	1612	3493	3537
64	ihre	O	O	-	0	1655	1776	3494	3547
65	Entſchließungen	O	O	-	0	280	614	3514	3577
66	beſtimmt	O	O	-	0	646	828	3526	3580
67	und	O	O	-	0	858	932	3534	3577
68	ihre	O	O	-	0	963	1046	3536	3590
69	Schritte	O	O	-	0	1075	1242	3538	3602
70	leitet	O	O	-	0	1272	1386	3542	3588
71	.	O	O	-	0	1272	1386	3542	3588
0		O	O	-	0	391	474	3574	3617
1	Und	O	O	-	0	391	474	3574	3617
2	wenn	O	O	-	0	505	612	3586	3623
3	wir	O	O	-	0	642	713	3583	3626
4	Umſchau	O	O	-	0	741	910	3586	3642
5	halten	O	O	-	0	911	1082	3591	3645
6	in	O	O	-	0	1118	1158	3608	3639
7	allen	O	O	-	0	1196	1292	3597	3641
8	Staaten	O	O	-	0	1323	1498	3599	3646
9	Europa's	B-LOC	O	-	0	1529	1735	3603	3660
10	,	O	O	-	0	1529	1735	3603	3660
11	giebt	O	O	-	0	278	380	3625	3681
12	es	O	O	-	0	430	470	3636	3674
13	wohl	O	O	-	0	512	616	3636	3690
14	ein	O	O	-	0	660	718	3640	3682
15	Volk	O	O	-	0	752	862	3641	3693
16	,	O	O	-	0	752	862	3641	3693
17	das	O	O	-	0	906	982	3646	3690
18	wir	O	O	-	0	1026	1099	3649	3693
19	beneiden	O	O	-	0	1140	1316	3651	3698
20	könnten	O	O	-	0	1356	1530	3655	3707
21	,	O	O	-	0	1356	1530	3655	3707
22	und	O	O	-	0	1573	1650	3662	3705
23	in	O	O	-	0	1696	1733	3663	3706
24	welchem	O	O	-	0	277	447	3681	3735
25	nicht	O	O	-	0	477	572	3686	3741
26	weit	O	O	-	0	601	689	3693	3737
27	größere	O	O	-	0	718	874	3700	3751
28	Schwierigkeiten	O	O	-	0	903	1233	3702	3760
29	den	O	O	-	0	1270	1340	3710	3754
30	Blick	O	O	-	0	1369	1471	3711	3757
31	in	O	O	-	0	1500	1540	3714	3758
32	die	O	O	-	0	1569	1626	3716	3760
33	Zukunft	O	O	-	0	1654	1732	3717	3771
34	trübten	O	O	-	0	406	583	3742	3787
35	?	O	O	-	0	406	583	3742	3787
0		O	O	-	0	639	699	3750	3793
1	Uns	O	O	-	0	639	699	3750	3793
2	iſt	O	O	-	0	702	805	3751	3806
3	in	O	O	-	0	841	882	3755	3799
4	kurzer	O	O	-	0	919	1042	3756	3816
5	Zeit	O	O	-	0	1066	1156	3762	3816
6	ſo	O	O	-	0	1194	1230	3766	3816
7	Großes	O	O	-	0	1262	1418	3766	3822
8	zu	O	O	-	0	1455	1500	3784	3825
9	Theil	O	O	-	0	1530	1643	3771	3827
10	geworden	O	O	-	0	1673	1731	3787	3827
11	,	O	O	-	0	272	442	3794	3847
12	daß	O	O	-	0	471	546	3799	3851
13	wir	O	O	-	0	575	648	3802	3847
14	um	O	O	-	0	677	739	3818	3849
